"Time_Iter","Outer_Iter","Inner_Iter",    "Cur_Time"    ,    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,     "rms[k]"     ,     "rms[w]"     
          0,           0,           9,                 0,      -5.449631447,      -2.410643843,      -3.157483815,      0.0177702262,      -1.606444534,       2.979400588
          1,           0,           9,             0.003,      -6.258176761,      -2.713244759,      -3.771860541,     -0.8327332166,      -1.653335999,       2.597933132
          2,           0,           9,             0.006,       -6.32263047,      -2.897775826,      -3.900681298,      -1.392312653,      -1.791280341,       2.263614882
          3,           0,           9,             0.009,        -6.1799422,       -3.03643779,      -3.931801667,      -1.528271618,      -1.939352796,       2.059811025
          4,           0,           0,             0.012,       -6.13900072,       -3.04390103,      -3.915247641,     -0.9350444863,      -1.452865096,       2.394714332
          5,           0,           0,             0.015,      -6.114321026,      -3.057604197,      -3.886357506,      -0.861644516,      -1.612629087,       2.261248746
          6,           0,           0,             0.018,      -6.037237985,      -3.068981613,      -3.817927699,     -0.7913158626,      -1.640317786,       2.239776748
          7,           0,           0,             0.021,      -5.952159313,      -3.079513786,       -3.76485518,     -0.7556289075,      -1.659973909,       2.225167514
          8,           0,           0,             0.024,      -5.874852366,      -3.089500153,      -3.728348965,     -0.7400646224,      -1.678752268,       2.211546517
          9,           0,           0,             0.027,      -5.807213423,      -3.099062652,      -3.703474006,     -0.7360792554,      -1.697049063,        2.19850492
